[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - 2)Register
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - 3)EXIT
[main] 2021-07-15 23:01:15 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 23:01:18 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:20 WARN  com.project0.main.BankMain  - Invalid Choice... Please enter input between 1-3
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 23:01:20 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:23 WARN  com.project0.main.BankMain  - Invalid Choice... Please enter input between 1-3
[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 23:01:23 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - 1)Login as a customer
[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - 2)Log in as an employee
[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - 3)Return to main menu
[main] 2021-07-15 23:01:27 INFO  com.project0.main.BankMain  - Enter your Choice 1-3
[main] 2021-07-15 23:01:37 WARN  com.project0.main.BankMain  - Invalid Choice... Please enter input between 1-3
[main] 2021-07-15 23:01:37 INFO  com.project0.main.BankMain  - Login Options 
[main] 2021-07-15 23:01:37 INFO  com.project0.main.BankMain  - ---------------
[main] 2021-07-15 23:01:37 INFO  com.project0.main.BankMain  - 

[main] 2021-07-15 23:01:37 INFO  com.project0.main.BankMain  - 1)Login as a customer
